ENSSSCG00000030218	ensembl
ENSSSCG00000029697	ensembl
ENSSSCG00000027726	DLL1
ENSSSCG00000030932	CH242-271M12.1
ENSSSCG00000004009	ensembl
ENSSSCG00000030155	ensembl
ENSSSCG00000027842	ensembl
ENSSSCG00000025112	ensembl
ENSSSCG00000004008	ensembl
ENSSSCG00000004010	ERMARD
ENSSSCG00000027123	ensembl
ENSSSCG00000027750	ensembl
ENSSSCG00000021794	ensembl
ENSSSCG00000004012	THBS2
ENSSSCG00000018614	ensembl
ENSSSCG00000027112	ensembl
ENSSSCG00000025469	ensembl
ENSSSCG00000004013	ensembl
ENSSSCG00000022407	ensembl
ENSSSCG00000004014	DACT2
ENSSSCG00000004017	FRMD1
ENSSSCG00000004016	ensembl
ENSSSCG00000004018	AFDN
ENSSSCG00000027404	ensembl
ENSSSCG00000004023	FGFR1OP
ENSSSCG00000004024	ensembl
ENSSSCG00000004022	RPS6KA2
ENSSSCG00000004020	SFT2D1
ENSSSCG00000004021	PRR18
ENSSSCG00000019654	U6
ENSSSCG00000029213	ensembl
ENSSSCG00000004027	PDE10A
ENSSSCG00000004028	C6orf118
ENSSSCG00000004029	QKI
ENSSSCG00000004032	ensembl
ENSSSCG00000026205	ensembl
ENSSSCG00000004034	ensembl_havana
ENSSSCG00000004033	AGPAT4
ENSSSCG00000025030	ensembl
ENSSSCG00000004037	ensembl
ENSSSCG00000029556	ensembl
ENSSSCG00000004038	PLG
ENSSSCG00000004039	SLC22A3
ENSSSCG00000018769	SNORA18
ENSSSCG00000026300	ensembl
ENSSSCG00000022084	ensembl
ENSSSCG00000004040	SLC22A2
ENSSSCG00000004042	ensembl
ENSSSCG00000004043	ensembl
ENSSSCG00000029477	ensembl
ENSSSCG00000004041	ensembl
ENSSSCG00000004044	IGF2R
ENSSSCG00000004045	MAS1
ENSSSCG00000004046	PNLDC1
ENSSSCG00000004047	MRPL18
ENSSSCG00000004048	TCP1
ENSSSCG00000018530	SNORA29
ENSSSCG00000018605	SNORA20
ENSSSCG00000004049	ACAT2
ENSSSCG00000004050	WTAP
ENSSSCG00000029876	SOD2
ENSSSCG00000004052	FNDC1
ENSSSCG00000004053	TAGAP
ENSSSCG00000004054	ensembl
ENSSSCG00000004055	RSPH3
ENSSSCG00000024876	ensembl
ENSSSCG00000004056	DYNLT1
ENSSSCG00000024378	ensembl
ENSSSCG00000004058	ensembl
ENSSSCG00000004057	SYTL3
ENSSSCG00000004059	ensembl
ENSSSCG00000021348	ensembl
ENSSSCG00000029686	ensembl
ENSSSCG00000022710	ensembl
ENSSSCG00000023471	ensembl
ENSSSCG00000024019	GTF2H5
ENSSSCG00000012314	ensembl
ENSSSCG00000021649	ensembl
ENSSSCG00000012315	ensembl
ENSSSCG00000030535	SNX9
ENSSSCG00000020070	7SK
ENSSSCG00000024528	ZDHHC14
ENSSSCG00000004063	ensembl
ENSSSCG00000004064	ensembl
ENSSSCG00000019015	5S_rRNA
ENSSSCG00000024361	ensembl
ENSSSCG00000004067	CLDN20
ENSSSCG00000004065	ensembl
ENSSSCG00000026474	ensembl
ENSSSCG00000004070	SCAF8
ENSSSCG00000004071	CNKSR3
ENSSSCG00000026391	ensembl
ENSSSCG00000025154	ensembl
ENSSSCG00000004072	ensembl
ENSSSCG00000025352	ensembl
ENSSSCG00000004074	OPRM1
ENSSSCG00000004075	RGS17
ENSSSCG00000004076	MTRF1L
ENSSSCG00000004077	FBXO5
ENSSSCG00000004078	ensembl
ENSSSCG00000004080	MYCT1
ENSSSCG00000004081	ensembl
ENSSSCG00000024114	ensembl
ENSSSCG00000021273	ensembl
ENSSSCG00000004082	ensembl
ENSSSCG00000025777	ESR1
ENSSSCG00000004084	ensembl
ENSSSCG00000004087	CCDC170
ENSSSCG00000004088	ensembl
ENSSSCG00000004089	RMND1
ENSSSCG00000004090	ZBTB2
ENSSSCG00000004091	AKAP12
ENSSSCG00000004092	ensembl
ENSSSCG00000004093	IYD
ENSSSCG00000004094	PPP1R14C
ENSSSCG00000004098	ensembl
ENSSSCG00000004096	ensembl
ENSSSCG00000004100	ensembl
ENSSSCG00000004103	PCMT1
ENSSSCG00000004101	LRP11
ENSSSCG00000026042	ULBP1
ENSSSCG00000028948	ensembl
ENSSSCG00000004105	NUP43
ENSSSCG00000004106	ensembl
ENSSSCG00000021892	ensembl
ENSSSCG00000004104	ensembl
ENSSSCG00000028867	PPIL4
ENSSSCG00000004108	ensembl
ENSSSCG00000030067	ensembl
ENSSSCG00000004109	ZC3H12D
ENSSSCG00000004110	TAB2
ENSSSCG00000028974	UST
ENSSSCG00000021079	U6
ENSSSCG00000004112	SAMD5
ENSSSCG00000004113	ensembl
ENSSSCG00000004114	ADGB
ENSSSCG00000004117	RAB32
ENSSSCG00000004119	GRM1
